,date,DOHOL,THYAO
184,2020-01-07 12:57:16.263000010,-1.0,0.0
185,2020-01-07 12:57:18.078000080,1.0,0.0
186,2020-01-07 12:57:19.188000010,-1.0,1.0
187,2020-01-07 13:04:03.128000010,1.0,-1.0
188,2020-01-07 13:06:54.830000080,-1.0,0.0
189,2020-01-07 13:06:56.239000030,1.0,1.0
190,2020-01-07 13:22:50.134000070,-1.0,0.0
191,2020-01-07 13:23:03.312000010,1.0,-1.0
192,2020-01-07 13:38:12.634000070,-1.0,-1.0
193,2020-01-07 14:04:27.674000080,1.0,-1.0
194,2020-01-07 14:19:06.381000020,1.0,0.0
195,2020-01-07 14:25:26.240000040,1.0,1.0
196,2020-01-07 14:31:15.299000010,-1.0,0.0
197,2020-01-07 14:31:18.862000020,1.0,0.0
198,2020-01-07 14:31:47.197000010,-1.0,0.0
199,2020-01-07 14:33:09.810000010,1.0,1.0
200,2020-01-07 15:06:13.382000120,1.0,1.0
201,2020-01-07 15:15:51.548000020,-1.0,-1.0
202,2020-01-07 15:22:56.049000100,1.0,0.0
203,2020-01-07 15:22:56.960000140,-1.0,0.0
204,2020-01-07 15:22:57.661000060,1.0,0.0
205,2020-01-07 15:22:58.673000000,-1.0,0.0
206,2020-01-07 15:22:58.774000010,1.0,0.0
207,2020-01-07 15:23:25.051000170,-1.0,-1.0
208,2020-01-07 15:33:50.430000030,1.0,1.0
209,2020-01-07 15:41:50.845000020,-1.0,-1.0
210,2020-01-07 16:38:12.111000010,1.0,1.0
211,2020-01-07 16:48:51.285000010,-1.0,-1.0
212,2020-01-07 16:55:28.157000060,1.0,1.0
213,2020-01-07 16:58:09.163000050,-1.0,0.0
214,2020-01-07 16:58:23.936000020,1.0,0.0
215,2020-01-07 16:58:42.055000010,-1.0,0.0
216,2020-01-07 16:58:50.767000010,1.0,0.0
217,2020-01-07 17:00:09.004000010,-1.0,0.0
218,2020-01-07 17:00:09.705000020,1.0,0.0
219,2020-01-07 17:00:14.184000010,-1.0,0.0
220,2020-01-07 17:01:15.919000020,1.0,0.0
