date,DOHOL,THYAO
2020-01-06 11:35:54.717000130,1,0
2020-01-06 11:35:54.731000020,1,0
2020-01-06 11:36:15.801000010,-1,-1
2020-01-06 12:04:48.885000030,1,0
2020-01-06 12:04:51.717000070,-1,0
2020-01-06 12:04:51.717000100,-1,0
2020-01-06 12:04:57.885000010,1,0
2020-01-06 12:05:07.884000010,-1,-1
2020-01-06 12:24:07.165000020,1,0
2020-01-06 12:24:38.482000010,-1,0
2020-01-06 12:24:38.482000040,-1,0
2020-01-06 12:24:39.671000050,1,-1
2020-01-06 12:26:01.283000000,1,1
2020-01-06 12:26:24.594000010,-1,0
2020-01-06 12:26:24.594000040,-1,-1
2020-01-06 12:30:41.706000030,-1,-1
2020-01-06 12:40:58.923000010,1,-1
2020-01-06 17:02:14.776000030,-1,0
2020-01-06 17:02:14.776000060,-1,1
2020-01-07 10:00:08.249000060,-1,0
2020-01-07 10:00:08.249000090,-1,0
2020-01-07 10:00:10.094000170,1,1
2020-01-07 10:19:26.867000010,-1,-1
2020-01-07 10:22:27.960000020,1,1
2020-01-07 10:42:39.514000030,-1,-1
2020-01-07 11:34:58.490000140,-1,0
2020-01-07 11:34:58.562000030,-1,-1
2020-01-07 12:02:44.606000090,1,0
2020-01-07 12:02:44.673000020,1,-1
2020-01-07 12:15:48.543000030,-1,0
2020-01-07 12:15:58.292000170,1,-1
2020-01-07 12:32:54.205000020,1,0
2020-01-07 12:32:54.306000020,1,0
2020-01-07 12:33:40.781000010,1,0
2020-01-07 12:33:40.796000020,1,-1
2020-01-07 12:34:10.781000080,-1,0
2020-01-07 12:34:12.787000020,1,1
2020-01-07 12:36:04.828000030,1,1
2020-01-07 12:36:24.995000010,-1,-1
2020-01-07 12:36:31.147000060,1,0
2020-01-07 12:36:31.236000020,1,1
2020-01-07 12:41:33.418000010,1,0
2020-01-07 12:41:33.418000050,1,0
2020-01-07 12:41:33.441000030,-1,0
2020-01-07 12:41:33.719000010,1,0
2020-01-07 12:41:34.148000010,-1,0
2020-01-07 12:41:34.224000020,-1,1
2020-01-07 12:44:30.517000020,1,0
2020-01-07 12:45:08.148000020,-1,0
2020-01-07 12:45:11.468000010,1,-1
2020-01-07 12:51:37.199000040,-1,0
2020-01-07 12:51:37.199000070,-1,-1
2020-01-07 12:57:03.781000020,1,0
2020-01-07 12:57:13.082000030,-1,0
2020-01-07 12:57:14.753000040,1,0
2020-01-07 12:57:16.263000010,-1,0
2020-01-07 12:57:18.078000080,1,0
2020-01-07 12:57:19.188000010,-1,1
2020-01-07 13:04:03.128000010,1,-1
2020-01-07 13:06:54.830000080,-1,0
2020-01-07 13:06:56.239000030,1,1
2020-01-07 13:22:50.134000040,-1,0
2020-01-07 13:22:50.134000070,-1,0
2020-01-07 13:23:03.312000010,1,-1
2020-01-07 13:38:12.634000040,-1,0
2020-01-07 13:38:12.634000070,-1,-1
2020-01-07 14:04:27.674000080,1,-1
2020-01-07 14:19:06.380000010,1,0
2020-01-07 14:19:06.381000020,1,0
2020-01-07 14:25:26.240000010,1,0
2020-01-07 14:25:26.240000040,1,1
2020-01-07 14:31:15.299000010,-1,0
2020-01-07 14:31:18.862000020,1,0
2020-01-07 14:31:47.197000010,-1,0
2020-01-07 14:33:09.810000010,1,1
2020-01-07 15:06:13.382000080,1,0
2020-01-07 15:06:13.382000120,1,1
2020-01-07 15:15:51.490000010,-1,0
2020-01-07 15:15:51.548000020,-1,-1
2020-01-07 15:22:56.049000100,1,0
2020-01-07 15:22:56.960000140,-1,0
2020-01-07 15:22:57.661000060,1,0
2020-01-07 15:22:58.673000000,-1,0
2020-01-07 15:22:58.774000010,1,0
2020-01-07 15:23:25.051000170,-1,-1
2020-01-07 15:33:50.430000030,1,1
2020-01-07 15:41:50.845000020,-1,-1
2020-01-07 16:38:12.111000010,1,1
2020-01-07 16:48:51.285000010,-1,-1
2020-01-07 16:55:28.157000030,1,0
2020-01-07 16:55:28.157000060,1,1
2020-01-07 16:58:09.163000050,-1,0
2020-01-07 16:58:23.936000020,1,0
2020-01-07 16:58:42.055000010,-1,0
2020-01-07 16:58:50.767000010,1,0
2020-01-07 17:00:09.004000010,-1,0
2020-01-07 17:00:09.705000020,1,0
2020-01-07 17:00:14.184000010,-1,0
2020-01-07 17:01:15.919000020,1,0
2020-01-07 17:01:25.000000060,-1,1
2020-01-07 17:33:23.707000010,-1,1
2020-01-07 17:39:49.859000120,1,0
2020-01-07 17:40:04.346000020,-1,-1
2020-01-07 17:43:08.728000100,1,-1
2020-01-07 17:45:08.703000010,-1,0
2020-01-07 17:45:08.703000040,-1,-1
2020-01-08 10:00:11.014000060,-1,0
2020-01-08 10:00:11.014000090,-1,1
2020-01-08 10:01:14.430000010,-1,0
2020-01-08 10:01:17.715000050,1,0
2020-01-08 10:01:23.506000060,-1,1
2020-01-08 10:01:33.770000140,1,0
2020-01-08 10:01:34.783000030,-1,-1
2020-01-08 10:01:41.992000020,1,1
2020-01-08 10:02:08.945000050,1,0
2020-01-08 10:02:08.974000030,1,1
2020-01-08 10:06:53.653000050,1,1
2020-01-08 10:16:10.383000020,-1,0
2020-01-08 10:16:10.383000050,-1,1
2020-01-08 10:26:13.981000020,1,-1
2020-01-08 10:37:41.543000050,-1,-1
2020-01-08 10:39:44.537000020,1,1
2020-01-08 10:43:59.237000010,-1,1
2020-01-08 10:44:13.084000030,1,-1
2020-01-08 11:08:09.095000060,-1,-1
2020-01-08 11:35:58.634000030,-1,0
2020-01-08 11:35:58.634000060,-1,-1
2020-01-08 11:36:24.307000040,1,1
2020-01-08 11:36:35.929000070,-1,1
2020-01-08 11:49:22.814000010,1,1
2020-01-08 13:08:43.996000030,1,0
2020-01-08 13:08:44.097000030,1,-1
2020-01-08 13:35:46.760000020,-1,-1
2020-01-08 14:01:03.179000010,1,0
2020-01-08 14:01:03.180000020,1,1
2020-01-08 14:32:38.345000010,-1,0
2020-01-08 14:32:38.345000040,-1,1
2020-01-08 14:35:00.537000010,1,1
