symbol_pvc,p_value_chi2,symbol_pvfe,p_value_fisher_exact,symbol_as,accuracy_score,symbol_ars,adjusted_rand_score,symbol_mc,matthews_corrcoef,symbol_mis,mutual_info_score
"('BIMAS', 'GARAN')",3.04697344979308e-30,"('KOZAA', 'SAHOL')",2.90570150903109e-31,"('EREGL', 'ISCTR')",0.113959364143594,"('BIMAS', 'EREGL')",0.0009667339931380001,"('FROTO', 'ASELS')",0.036021840822249,"('SISE', 'YKBNK')",0.002444589899388
"('VAKBN', 'TUPRS')",3.24388235745338e-30,"('TOASO', 'ASELS')",3.0318529822699196e-31,"('SAHOL', 'ISCTR')",0.11401319802584199,"('TKFEN', 'ASELS')",0.00096691425441,"('AKBNK', 'FROTO')",0.036093717107387,"('KRDMD', 'TSKB')",0.0024521833589270002
"('KOZAA', 'GARAN')",3.4156989644942796e-30,"('KOZAA', 'GARAN')",3.0364395729960496e-31,"('PGSUS', 'KOZAA')",0.11456980905031801,"('ARCLK', 'ISCTR')",0.000968231161612,"('KCHOL', 'KOZAL')",0.036154017956540004,"('PGSUS', 'THYAO')",0.002467363495211
"('TAVHL', 'AKBNK')",3.5258561944668795e-30,"('TUPRS', 'EREGL')",3.68865384316491e-31,"('ASELS', 'KCHOL')",0.11483065953654199,"('ASELS', 'TAVHL')",0.000970321331244,"('BIMAS', 'TTKOM')",0.036223058953279,"('DOHOL', 'EKGYO')",0.002473869550763
"('TUPRS', 'EREGL')",3.83235672354628e-30,"('TUPRS', 'SAHOL')",3.8171292056758205e-31,"('GARAN', 'ISCTR')",0.114848203096576,"('TUPRS', 'FROTO')",0.0009706435388919999,"('ARCLK', 'KOZAL')",0.036272090053427,"('PETKM', 'TSKB')",0.0024759685043350002
"('TOASO', 'ASELS')",4.1401641712191896e-30,"('TKFEN', 'HALKB')",3.9471109441691205e-31,"('PGSUS', 'BIMAS')",0.115120493418961,"('HALKB', 'YKBNK')",0.0009725397594199999,"('TUPRS', 'FROTO')",0.036310450470556,"('SODA', 'SISE')",0.0024783217082929997
"('TUPRS', 'SAHOL')",4.20936342218025e-30,"('ISCTR', 'SISE')",7.0863772737697695e-31,"('TKFEN', 'TAVHL')",0.11557117295794099,"('VAKBN', 'YKBNK')",0.0009746096184770001,"('TAVHL', 'KOZAL')",0.036396404496164,"('TUPRS', 'SODA')",0.002480895654801
"('TTKOM', 'TUPRS')",4.33221021165531e-30,"('TUPRS', 'TTKOM')",7.89732498055181e-31,"('ARCLK', 'EREGL')",0.11613318866133199,"('DOHOL', 'TUPRS')",0.000985014630546,"('KCHOL', 'TUPRS')",0.036419366099347004,"('YKBNK', 'TUPRS')",0.002484536421657
"('FROTO', 'TTKOM')",4.99981767649466e-30,"('TTKOM', 'TUPRS')",8.88904039642286e-31,"('SODA', 'AKBNK')",0.11621304092422198,"('TKFEN', 'EREGL')",0.000992021509265,"('SISE', 'GARAN')",0.036443749344058994,"('EREGL', 'YKBNK')",0.002485669999725
"('TUPRS', 'ISCTR')",6.23879296663307e-30,"('TAVHL', 'KOZAA')",8.926637404791699e-31,"('AKBNK', 'HALKB')",0.11628885815645501,"('TCELL', 'ISCTR')",0.000992939648396,"('TAVHL', 'ISCTR')",0.036507811703016,"('FROTO', 'PGSUS')",0.0024861267751770002
"('BIMAS', 'AKBNK')",7.36114210429424e-30,"('FROTO', 'TTKOM')",1.41826502730477e-30,"('TCELL', 'EREGL')",0.11656402968577301,"('TTKOM', 'SODA')",0.001007515296644,"('TUPRS', 'SODA')",0.036521380271886,"('TSKB', 'GARAN')",0.002497361212889
"('SAHOL', 'KOZAA')",8.46175245848284e-30,"('BIMAS', 'AKBNK')",2.10483629809839e-30,"('SISE', 'VAKBN')",0.117206982543641,"('SODA', 'TCELL')",0.001015541084668,"('PGSUS', 'GARAN')",0.0365496182478,"('SAHOL', 'SISE')",0.0025120325393979998
"('TTKOM', 'KOZAL')",9.63092476962075e-30,"('VAKBN', 'SISE')",2.10803639547854e-30,"('TOASO', 'EREGL')",0.117278395577554,"('DOHOL', 'TKFEN')",0.001017294266375,"('VAKBN', 'PETKM')",0.036657354291323,"('FROTO', 'EREGL')",0.002538881426782
